Fund Holdings as of,"06/Aug/2026"

Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"SPSN","SWISS PRIME SITE AG","Real Estate","Equity","1,165,545.21","0.17","1,165,545.21","8,438.00","138.13","Switzerland","SIX Swiss Exchange","CHF"
"TRYG","TRYG","Financials","Equity","1,136,525.39","0.17","1,136,525.39","55,386.00","20.52","Denmark","Omx Nordic Exchange Copenhagen A/S","DKK"
"LI","KLEPIERRE REIT SA","Real Estate","Equity","1,104,786.00","0.16","1,104,786.00","27,675.00","39.92","France","Nyse Euronext - Euronext Paris","EUR"
"EPI B","EPIROC CLASS B","Industrials","Equity","1,092,732.85","0.16","1,092,732.85","55,846.00","19.57","Sweden","Nasdaq Omx Nordic","SEK"
"GJF","GJENSIDIGE FORSIKRING","Financials","Equity","1,080,698.14","0.16","1,080,698.14","42,150.00","25.64","Norway","Oslo Bors Asa","NOK"
"EVO","EVOLUTION","Consumer Discretionary","Equity","1,070,980.71","0.16","1,070,980.71","16,056.00","66.70","Sweden","Nasdaq Omx Nordic","SEK"
"EMSN","EMS-CHEMIE HOLDING AG","Materials","Equity","1,054,921.19","0.16","1,054,921.19","1,198.00","880.57","Switzerland","SIX Swiss Exchange","CHF"
"TLX","TALANX AG","Financials","Equity","1,052,772.00","0.15","1,052,772.00","9,060.00","116.20","Germany","Xetra","EUR"
"AKRBP","AKER BP","Energy","Equity","1,050,591.81","0.15","1,050,591.81","34,903.00","30.10","Norway","Oslo Bors Asa","NOK"
"BMED","BANCA MEDIOLANUM","Financials","Equity","1,035,065.91","0.15","1,035,065.91","42,789.00","24.19","Italy","Borsa Italiana","EUR"
"CCH","COCA COLA HBC AG","Consumer Staples","Equity","1,020,348.47","0.15","1,020,348.47","17,780.00","57.39","United Kingdom","London Stock Exchange","GBP"
"EVD","CTS EVENTIM AG","Communication","Equity","992,887.20","0.15","992,887.20","17,104.00","58.05","Germany","Xetra","EUR"
"AMUN","AMUNDI SA","Financials","Equity","967,795.70","0.14","967,795.70","9,967.00","97.10","France","Nyse Euronext - Euronext Paris","EUR"
"PNDORA","PANDORA","Consumer Discretionary","Equity","960,295.80","0.14","960,295.80","8,830.00","108.75","Denmark","Omx Nordic Exchange Copenhagen A/S","DKK"
